Date,"Close Price"
"2018-08-25 00:00:00",6721.41
"2018-08-25 01:00:00",6735.81
"2018-08-25 02:00:00",6761.96
"2018-08-25 03:00:00",6736.26
"2018-08-25 04:00:00",6746.83
"2018-08-25 05:00:00",6736.9
"2018-08-25 06:00:00",6690.43
"2018-08-25 07:00:00",6682.64
"2018-08-25 08:00:00",6719.2
"2018-08-25 09:00:00",6694.82
"2018-08-25 10:00:00",6715.31
"2018-08-25 11:00:00",6707.46
"2018-08-25 12:00:00",6696.65
"2018-08-25 13:00:00",6700.16
"2018-08-25 14:00:00",6728.01
"2018-08-25 15:00:00",6742.37
"2018-08-25 16:00:00",6718.18
"2018-08-25 17:00:00",6726.47
"2018-08-25 18:00:00",6710.65
"2018-08-25 19:00:00",6714.73
"2018-08-25 20:00:00",6718.54
"2018-08-25 21:00:00",6700.33
"2018-08-25 22:00:00",6725.54
"2018-08-25 23:00:00",6736.02
"2018-08-26 00:00:00",6758.66
"2018-08-26 01:00:00",6736.84
"2018-08-26 02:00:00",6645.63
"2018-08-26 03:00:00",6620.12
"2018-08-26 04:00:00",6620.03
"2018-08-26 05:00:00",6588.52
"2018-08-26 06:00:00",6611.28
"2018-08-26 07:00:00",6634.36
"2018-08-26 08:00:00",6626.37
"2018-08-26 09:00:00",6657.11
"2018-08-26 10:00:00",6662.18
"2018-08-26 11:00:00",6696.81
"2018-08-26 12:00:00",6686.2
"2018-08-26 13:00:00",6722.48
"2018-08-26 14:00:00",6696.83
"2018-08-26 15:00:00",6677.91
"2018-08-26 16:00:00",6653
"2018-08-26 17:00:00",6645.82
"2018-08-26 18:00:00",6692.32
"2018-08-26 19:00:00",6702.08
"2018-08-26 20:00:00",6677.46
"2018-08-26 21:00:00",6680.61
"2018-08-26 22:00:00",6683.27
"2018-08-26 23:00:00",6708.99
"2018-08-27 00:00:00",6697.07
"2018-08-27 01:00:00",6671.76
"2018-08-27 02:00:00",6671.45
"2018-08-27 03:00:00",6672.27
"2018-08-27 04:00:00",6700.58
"2018-08-27 05:00:00",6713.98
"2018-08-27 06:00:00",6709.81
"2018-08-27 07:00:00",6704.1
"2018-08-27 08:00:00",6700.52
"2018-08-27 09:00:00",6692.95
"2018-08-27 10:00:00",6708.82
"2018-08-27 11:00:00",6708.07
"2018-08-27 12:00:00",6692.74
"2018-08-27 13:00:00",6714.14
"2018-08-27 14:00:00",6720.05
"2018-08-27 15:00:00",6746.74
"2018-08-27 16:00:00",6740.01
"2018-08-27 17:00:00",6739.02
"2018-08-27 18:00:00",6730.99
"2018-08-27 19:00:00",6741.05
"2018-08-27 20:00:00",6721.25
"2018-08-27 21:00:00",6731.25
"2018-08-27 22:00:00",6748.62
"2018-08-27 23:00:00",6902.8
"2018-08-28 00:00:00",6899.27
"2018-08-28 01:00:00",6911.19
"2018-08-28 02:00:00",6875.23
"2018-08-28 03:00:00",6881.13
"2018-08-28 04:00:00",6899.84
"2018-08-28 05:00:00",6901.98
"2018-08-28 06:00:00",6917.34
"2018-08-28 07:00:00",6925.34
"2018-08-28 08:00:00",6916.03
"2018-08-28 09:00:00",6924.1
"2018-08-28 10:00:00",6922.3
"2018-08-28 11:00:00",7031.76
"2018-08-28 12:00:00",7037.49
"2018-08-28 13:00:00",7080.42
"2018-08-28 14:00:00",7058.49
"2018-08-28 15:00:00",7048.42
"2018-08-28 16:00:00",7022.68
"2018-08-28 17:00:00",7049.56
"2018-08-28 18:00:00",7060.82
"2018-08-28 19:00:00",7095.04
"2018-08-28 20:00:00",7081.52
"2018-08-28 21:00:00",7064.94
"2018-08-28 22:00:00",7081.38
"2018-08-28 23:00:00",7074.32
"2018-08-29 00:00:00",7069.46
"2018-08-29 01:00:00",7060.76
"2018-08-29 02:00:00",7028.83
"2018-08-29 03:00:00",7038.24
"2018-08-29 04:00:00",7042.05
"2018-08-29 05:00:00",7056.77
"2018-08-29 06:00:00",7048.08
"2018-08-29 07:00:00",7054.75
"2018-08-29 08:00:00",7072.59
"2018-08-29 09:00:00",7103.12
"2018-08-29 10:00:00",7086.84
"2018-08-29 11:00:00",7086.27
"2018-08-29 12:00:00",7091.62
"2018-08-29 13:00:00",7095.7
"2018-08-29 14:00:00",7075.45
"2018-08-29 15:00:00",6967.1
"2018-08-29 16:00:00",6994.56
"2018-08-29 17:00:00",7022.03
"2018-08-29 18:00:00",7013.24
"2018-08-29 19:00:00",7004.81
"2018-08-29 20:00:00",7039.16
"2018-08-29 21:00:00",7059.73
"2018-08-29 22:00:00",7058.54
"2018-08-29 23:00:00",7033.15
"2018-08-30 00:00:00",7050.48
"2018-08-30 01:00:00",7039.58
"2018-08-30 02:00:00",7006.3
"2018-08-30 03:00:00",7020.73
"2018-08-30 04:00:00",7014.77
"2018-08-30 05:00:00",6967.02
"2018-08-30 06:00:00",6980.46
"2018-08-30 07:00:00",6969.59
"2018-08-30 08:00:00",6936.39
"2018-08-30 09:00:00",6916.55
"2018-08-30 10:00:00",6926.12
"2018-08-30 11:00:00",6876.38
"2018-08-30 12:00:00",6838.11
"2018-08-30 13:00:00",6842.2
"2018-08-30 14:00:00",6865.31
"2018-08-30 15:00:00",6859.67
"2018-08-30 16:00:00",6854.76
"2018-08-30 17:00:00",6857.25
"2018-08-30 18:00:00",6817.48
"2018-08-30 19:00:00",6819.37
"2018-08-30 20:00:00",6913.22
"2018-08-30 21:00:00",6937.45
"2018-08-30 22:00:00",6933.74
"2018-08-30 23:00:00",6985.01
"2018-08-31 00:00:00",6952.04
"2018-08-31 01:00:00",6937.81
